,iteration,posterior,likelihood,prior,no_admixes,add,descendant_sets,tree,admixtures,layer
20,800,-378.9283561562324,-331.7673746311193,-47.16098152511306,4,,s1-s1.s2.s3-s1.s2.s3.s4-s2-s2.s3-s3-s4,a.c.1.w-w.a.w.w-w.a.w.c.3-w.c.w.1.w-w.c.1.w-w.c.1-w.a-c.w.0-c.0;0.061228428-0.002870993-0.091000281-0.003939830-0.004250754-0.042648855-0.079802157-0.033167515-0.054725285-0.023547846-0.106632182-0.001753002-0.119156673-0.003920651-0.093433603-0.122709456-0.044613642-0.022098852;0.519-0.792-0.813-0.731,x172b-x226b-x228b-x231b;0.519-0.792-0.731-0.813,0
21,840,-362.6987170925674,-346.6426958332013,-16.056021259366105,1,,s1-s1.s2.s3-s1.s2.s3.s4-s2-s2.s3-s3-s4,a.c.1.w-w.c.w.1-w.c.1-c.0;0.057533672-0.002663674-0.091402021-0.022440147-0.108193672-0.019036104-0.106663229-0.137158328-0.018806528;0.557,x172b;0.557,0
22,880,-335.4629253579411,-319.37358316098835,-16.089342196952785,1,,s1-s1.s2.s3-s1.s2.s3.s4-s2-s2.s3-s3-s4,w.a.w.w-w.w.c.w.2-c.w.0.w-c.w.0-c.0;0.001977052-0.092871999-0.001825181-0.112722997-0.020469341-0.019641644-0.109521097-0.018956820-0.190959609;0.048,x245b;0.048,0
23,920,-401.79510241401266,-366.3147088226433,-35.48039359136934,3,,s1-s1.s2.s3-s1.s2.s3.s4-s2-s2.s3-s3-s4,w.a.a.w-w.a.c.w.2.w-c.w.0.w.w.w-c.w.w.0.w-c.w.w.0-c.w.0-c.0;0.002097342-0.058946119-0.068617171-0.045407029-0.002164863-0.111820761-0.020634313-0.011068152-0.055896575-0.009000917-0.017695673-0.005614141-0.110169409-0.019380406-0.171466420;0.048-0.859-0.842,x245b-x255b-x258b;0.048-0.859-0.842,0
24,960,-281.80817880027314,-223.9146111435948,-57.89356765667833,5,,s1-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,a.c.1.a-w.a.w.w.w-w.a.w.w.w.w-w.w.w.w.c.w.4-c.w.w.w.0.w-a.w.w.w.w-c.0.w.w.w.w-c.w.w.0.w-c.w.0.w-c.w.0-c.0;0.045527905-0.003831218-0.092361743-0.077503965-0.000547230-0.026048038-0.002968984-0.017490869-0.019838346-0.009441457-0.014170460-0.109886304-0.003661894-0.008235927-0.017483290-0.008620794-0.066212375-0.000208903-0.008197465-0.014014599-0.062420267;0.502-0.414-0.425-0.239-0.058,x274b-x279b-x280b-x281b-x282b;0.502-0.425-0.058-0.414-0.239,0
0,0,-6313.405900386906,-6304.181985407224,-9.223914979682784,0,,s1-s1.s2.s3.s4-s1.s3.s4-s1.s4-s2-s3-s4,c.w.w.0-c.w.0-c.0;0.066077627-0.064541258-0.152503560-0.008609482-0.061157656-0.167396657;,;,0
1,40,-2590.1093876635673,-2581.2834331259583,-8.82595453760892,0,,s1-s1.s2.s3.s4-s1.s3-s1.s3.s4-s2-s3-s4,c.w.0.w-c.w.0-c.0;0.162259348-0.074574879-0.014953452-0.122271836-0.002130825-0.107931953;,;,0
2,80,-1229.8837949620358,-1195.1985696560369,-34.68522530599902,3,,s1-s1.s2.s3-s1.s2.s3.s4-s1.s3-s1.s3.s4-s2-s3-s4,w.w.a.w-c.w.a.w.0-a.w.w.w.w-c.0.c.w.w.2-w.c.1.w-w.c.1-c.0;0.063147721-0.083839689-0.045786100-0.018142862-0.003029007-0.025688129-0.006103019-0.003531750-0.007667614-0.009946550-0.092034806-0.013177747-0.046107930-0.101069326-0.017139445;0.228-0.073-0.731,x23b-x29b-x30b;0.731-0.228-0.073,0
3,120,-807.4460347748889,-761.2371432067739,-46.208891568114915,4,,s1-s1.s2.s3.s4-s1.s3-s1.s3.s4-s2-s3-s4,a.w.a.w-w.w.a.w.w.w-c.w.c.w.2.w.0-w.w.c.2.w-w.w.a.w-w.w.w.c.3-w.c.w.1-c.0.w-c.0;0.085143587-0.014088205-0.091593192-0.008591300-0.047489552-0.010364863-0.019072778-0.011424964-0.102377551-0.011899687-0.073937028-0.049782953-0.005060599-0.002319038-0.016369513-0.001836724-0.089110026-0.016552020;0.041-0.651-0.733-0.324,x23b-x29b-x32b-x39b;0.041-0.733-0.324-0.651,0
4,160,-677.7471230670114,-631.0958211444886,-46.65130192252284,4,,s1-s1.s2.s3.s4-s1.s3.s4-s1.s4-s2-s3-s3.s4-s4,w.w.a.a-c.w.c.0.w.2-a.w.w.w-w.w.w.c.3-w.c.w.1-w.a.w-w.w.c.2-w.c.1-c.0;0.012758266-0.075282807-0.104222176-0.103425697-0.049879649-0.071851835-0.011849217-0.073477622-0.052317005-0.004996947-0.002572379-0.000388628-0.015107243-0.071219359-0.001921590-0.004180758-0.016535604-0.096362760;0.080-0.644-0.427-0.663,x32b-x39b-x45b-x48b;0.427-0.080-0.663-0.644,0
